MSE;QLIKE;MODELS
pos.fin.KM_0.95_GR5_MSE;pos.fin.KM_0.95_GR5_QLIKE;cslr_pos_fin_km5
pos.fin.KM_0.95_GR10_MSE;pos.fin.KM_0.95_GR10_QLIKE;cslr_po_fin_km10
pos.fin.KD_0.95_GR5_MSE;pos.fin.KD_0.95_GR5_QLIKE;cslr_pos_fin_kd5
pos.fin.KD_0.95_GR10_MSE;pos.fin.KD_0.95_GR10_QLIKE;cslr_pos_fin_kd10
pos.fin.lasso.mse;pos.fin.lasso.qli;lasso_pos_fin
pos.fin.rf.MSE;pos.fin.rf.QLIKE;rf_pos_fin
gen.neg.fin;gen.neg.fin;gen_neg_fin
neg.fin.cslr;neg.fin.cslr;cslr_neg_fin
neg.fin.FX_0.95_MSE;neg.fin.FX_0.95_QLIKE;cslr_neg_fin_mem
neg.fin.KM_0.95_GR5_MSE;neg.fin.KM_0.95_GR5_QLIKE;cslr_neg_fin_km5
neg.fin.KM_0.95_GR10_MSE;neg.fin.KM_0.95_GR10_QLIKE;cslr_neg_fin_km10
neg.fin.KD_0.95_GR5_MSE;neg.fin.KD_0.95_GR5_QLIKE;cslr_neg_fin_kd5
neg.fin.KD_0.95_GR10_MSE;neg.fin.KD_0.95_GR10_QLIKE;cslr_neg_fin_kd10
neg.fin.lasso.mse;neg.fin.lasso.qli;lasso_neg_fin
neg.fin.rf.MSE;neg.fin.rf.QLIKE;rf_neg_fin
gen.pos.fin.gen.neg.fin;gen.pos.fin.gen.neg.fin;gen_posneg_fin
pos.fin.neg.fin.cslr;pos.fin.neg.fin.cslr;cslr_posneg_fin
pos.fin.neg.fin.FX_0.95_MSE;pos.fin.neg.fin.FX_0.95_QLIKE;cslr_posneg_fin_mem
pos.fin.neg.fin.KM_0.95_GR5_MSE;pos.fin.neg.fin.KM_0.95_GR5_QLIKE;cslr_posneg_fin_km5
pos.fin.neg.fin.KM_0.95_GR10_MSE;pos.fin.neg.fin.KM_0.95_GR10_QLIKE;cslr_posneg_fin_km10
pos.fin.neg.fin.KD_0.95_GR5_MSE;pos.fin.neg.fin.KD_0.95_GR5_QLIKE;cslr_posneg_fin_kd5
pos.fin.neg.fin.KD_0.95_GR10_MSE;pos.fin.neg.fin.KD_0.95_GR10_QLIKE;cslr_posneg_fin_kd10
pos.fin.neg.fin.lasso.mse;pos.fin.neg.fin.lasso.qli;lasso_posneg_fin
pos.fin.neg.fin.rf.MSE;pos.fin.neg.fin.rf.QLIKE;rf_posneg_fin
gen.dum;gen.dum;gen_dum
superbench.cslr;superbench.cslr;cslr_har
superbench.FX_0.95_MSE;superbench.FX_0.95_QLIKE;cslr_har_mem
superbench.KM_0.95_GR5_MSE;superbench.KM_0.95_GR5_QLIKE;cslr_har_km5
superbench.KM_0.95_GR10_MSE;superbench.KM_0.95_GR10_QLIKE;cslr_har_km10
superbench.KD_0.95_GR5_MSE;superbench.KD_0.95_GR5_QLIKE;cslr_har_kd5
superbench.KD_0.95_GR10_MSE;superbench.KD_0.95_GR10_QLIKE;cslr_har_kd10
superbench.lasso.mse;superbench.lasso.qli;lasso_har
superbench.rf.MSE;superbench.rf.QLIKE;rf_har
